Year,Quarter,Revenue
2010,1,7131
2010,2,6566
2010,3,7560
2010,4,12947
2011,1,9857
2011,2,9913
2011,3,10876
2011,4,17431
2012,1,13185
2012,2,12834
2012,3,13806
2012,4,21268
2013,1,16070
2013,2,15704
2013,3,17091
2013,4,25587
2014,1,19741
2014,2,19340
2014,3,20578
2014,4,29329
2015,1,22717
2015,2,23184
2015,3,25358
2015,4,35747
2016,1,29128
2016,2,30404
2016,3,32714
2016,4,43741
2017,1,35714
2017,2,37955
2017,3,43744
2017,4,60453
2018,1,51042
2018,2,52886
2018,3,56576
2018,4,72383
2019,1,59700
2019,2,63404
2019,3,69982
2019,4,87436
2020,1,75452
2020,2,88912
2020,3,96145
2020,4,125555
